"Denominator";"Numerator";"Rate";"FirstServiceEncounter";"LastServiceEncounter";"MissingMeasureReasonCode";"CountyOidExtension";"CountyName";"MeasurePeriodStart";"MeasurePeriodEnd"
;;;2009-01-20;2009-01-20;"MSK";"07";"Kronoberg";2009-01-01;2009-01-31
;;;2009-01-16;2009-01-23;"MSK";"08";"Kalmar län";2009-01-01;2009-01-31
10;9;0,9;2009-01-13;2009-01-29;;"12";"Skåne";2009-01-01;2009-01-31
;;;2009-01-12;2009-01-29;"MSK";"13";"Halland";2009-01-01;2009-01-31
21;20;0,952380952380952;2009-01-08;2009-01-31;;"14";"Västra Götaland";2009-01-01;2009-01-31
;;;2009-01-07;2009-01-30;"MSK";"17";"Värmland";2009-01-01;2009-01-31
;;;2009-01-23;2009-01-23;"MSK";"18";"Örebro län";2009-01-01;2009-01-31
;;;2009-01-16;2009-01-16;"MSK";"19";"Västmanland";2009-01-01;2009-01-31
;;;2009-01-16;2009-01-30;"MSK";"20";"Dalarna";2009-01-01;2009-01-31
;;;2009-01-09;2009-01-29;"MSK";"21";"Gävleborg";2009-01-01;2009-01-31
;;;2009-01-28;2009-01-28;"MSK";"22";"Västernorrland";2009-01-01;2009-01-31
;;;2009-01-14;2009-01-28;"MSK";"24";"Västerbotten";2009-01-01;2009-01-31
;;;2009-01-14;2009-01-14;"MSK";"25";"Norrbotten";2009-01-01;2009-01-31
25;24;0,96;2009-02-02;2009-02-25;;"01";"Stockholms län";2009-02-01;
;;;2009-02-24;2009-02-24;"MSK";"03";"Uppsala län";2009-02-01;
;;;2009-02-06;2009-02-20;"MSK";"04";"Sörmland";2009-02-01;
;;;2009-02-06;2009-02-20;"MSK";"05";"Östergötland";2009-02-01;
;;;2009-02-06;2009-02-13;"MSK";"06";"Jönköpings län";2009-02-01;
;;;2009-02-10;2009-02-27;"MSK";"07";"Kronoberg";2009-02-01;
;;;2009-02-20;2009-02-20;"MSK";"08";"Kalmar län";2009-02-01;
13;11;0,846153846153846;2009-02-03;2009-02-19;;"12";"Skåne";2009-02-01;
;;;2009-02-05;2009-02-25;"MSK";"13";"Halland";2009-02-01;
13;11;0,846153846153846;2009-02-05;2009-02-19;;"14";"Västra Götaland";2009-02-01;
;;;2009-02-13;2009-02-27;"MSK";"17";"Värmland";2009-02-01;
;;;2009-02-06;2009-02-27;"MSK";"18";"Örebro län";2009-02-01;
;;;2009-02-10;2009-02-17;"MSK";"19";"Västmanland";2009-02-01;
;;;2009-02-13;2009-02-24;"MSK";"20";"Dalarna";2009-02-01;
;;;2009-02-02;2009-02-26;"MSK";"21";"Gävleborg";2009-02-01;
;;;2009-02-04;2009-02-25;"MSK";"22";"Västernorrland";2009-02-01;
;;;2009-02-11;2009-02-18;"MSK";"24";"Västerbotten";2009-02-01;
;;;2009-02-05;2009-02-06;"MSK";"25";"Norrbotten";2009-02-01;
14;13;0,928571428571429;2009-03-02;2009-03-25;;"01";"Stockholms län";2009-03-01;2009-03-31
;;;2009-03-24;2009-03-24;"MSK";"03";"Uppsala län";2009-03-01;2009-03-31
;;;2009-03-13;2009-03-20;"MSK";"04";"Sörmland";2009-03-01;2009-03-31
;;;2009-03-04;2009-03-27;"MSK";"05";"Östergötland";2009-03-01;2009-03-31
;;;2009-03-19;2009-03-20;"MSK";"06";"Jönköpings län";2009-03-01;2009-03-31
;;;2009-03-20;2009-03-20;"MSK";"08";"Kalmar län";2009-03-01;2009-03-31
;;;2009-03-09;2009-03-09;"MSK";"09";"Gotland";2009-03-01;2009-03-31
;;;2009-03-03;2009-03-03;"MSK";"10";"Blekinge";2009-03-01;2009-03-31
19;16;0,842105263157895;2009-03-03;2009-03-31;;"12";"Skåne";2009-03-01;2009-03-31
;;;2009-03-24;2009-03-24;"MSK";"13";"Halland";2009-03-01;2009-03-31
18;17;0,944444444444444;2009-03-05;2009-03-26;;"14";"Västra Götaland";2009-03-01;2009-03-31
;;;2009-03-06;2009-03-31;"MSK";"17";"Värmland";2009-03-01;2009-03-31
;;;2009-03-06;2009-03-20;"MSK";"18";"Örebro län";2009-03-01;2009-03-31
;;;2009-03-10;2009-03-31;"MSK";"19";"Västmanland";2009-03-01;2009-03-31
;;;2009-03-26;2009-03-26;"MSK";"20";"Dalarna";2009-03-01;2009-03-31
;;;2009-03-19;2009-03-30;"MSK";"21";"Gävleborg";2009-03-01;2009-03-31
;;;2009-03-04;2009-03-11;"MSK";"22";"Västernorrland";2009-03-01;2009-03-31
;;;2009-03-11;2009-03-11;"MSK";"23";"Jämtland";2009-03-01;2009-03-31
;;;2009-03-18;2009-03-25;"MSK";"24";"Västerbotten";2009-03-01;2009-03-31
;;;2009-03-04;2009-03-18;"MSK";"25";"Norrbotten";2009-03-01;2009-03-31
19;18;0,947368421052632;2009-04-01;2009-04-29;;"01";"Stockholms län";2009-04-01;2009-04-30
;;;2009-04-07;2009-04-28;"MSK";"03";"Uppsala län";2009-04-01;2009-04-30
;;;2009-04-29;2009-04-29;"MSK";"04";"Sörmland";2009-04-01;2009-04-30
;;;2009-04-03;2009-04-24;"MSK";"05";"Östergötland";2009-04-01;2009-04-30
;;;2009-04-17;2009-04-23;"MSK";"06";"Jönköpings län";2009-04-01;2009-04-30
;;;2009-04-16;2009-04-23;"MSK";"07";"Kronoberg";2009-04-01;2009-04-30
;;;2009-04-27;2009-04-27;"MSK";"09";"Gotland";2009-04-01;2009-04-30
;;;2009-04-21;2009-04-21;"MSK";"10";"Blekinge";2009-04-01;2009-04-30
19;13;0,684210526315789;2009-04-02;2009-04-28;;"12";"Skåne";2009-04-01;2009-04-30
;;;2009-04-08;2009-04-08;"MSK";"13";"Halland";2009-04-01;2009-04-30
17;17;1;2009-04-02;2009-04-30;;"14";"Västra Götaland";2009-04-01;2009-04-30
;;;2009-04-03;2009-04-29;"MSK";"17";"Värmland";2009-04-01;2009-04-30
;;;2009-04-03;2009-04-24;"MSK";"18";"Örebro län";2009-04-01;2009-04-30
;;;2009-04-07;2009-04-23;"MSK";"19";"Västmanland";2009-04-01;2009-04-30
;;;2009-04-08;2009-04-17;"MSK";"20";"Dalarna";2009-04-01;2009-04-30
;;;2009-04-30;2009-04-30;"MSK";"21";"Gävleborg";2009-04-01;2009-04-30
;;;2009-04-01;2009-04-15;"MSK";"22";"Västernorrland";2009-04-01;2009-04-30
;;;2009-04-08;2009-04-29;"MSK";"23";"Jämtland";2009-04-01;2009-04-30
;;;2009-04-01;2009-04-22;"MSK";"24";"Västerbotten";2009-04-01;2009-04-30
;;;2009-04-08;2009-04-08;"MSK";"25";"Norrbotten";2009-04-01;2009-04-30
18;17;0,944444444444444;2009-05-04;2009-05-27;;"01";"Stockholms län";2009-05-01;2009-05-31
;;;2009-05-07;2009-05-29;"MSK";"04";"Sörmland";2009-05-01;2009-05-31
;;;2009-05-15;2009-05-29;"MSK";"05";"Östergötland";2009-05-01;2009-05-31
;;;2009-05-22;2009-05-28;"MSK";"06";"Jönköpings län";2009-05-01;2009-05-31
;;;2009-05-18;2009-05-29;"MSK";"08";"Kalmar län";2009-05-01;2009-05-31
;;;2009-05-05;2009-05-05;"MSK";"10";"Blekinge";2009-05-01;2009-05-31
16;13;0,8125;2009-05-04;2009-05-26;;"12";"Skåne";2009-05-01;2009-05-31
;;;2009-05-06;2009-05-12;"MSK";"13";"Halland";2009-05-01;2009-05-31
19;18;0,947368421052632;2009-05-07;2009-05-28;;"14";"Västra Götaland";2009-05-01;2009-05-31
;;;2009-05-08;2009-05-08;"MSK";"17";"Värmland";2009-05-01;2009-05-31
;;;2009-05-15;2009-05-15;"MSK";"18";"Örebro län";2009-05-01;2009-05-31
;;;2009-05-12;2009-05-26;"MSK";"19";"Västmanland";2009-05-01;2009-05-31
;;;2009-05-15;2009-05-26;"MSK";"20";"Dalarna";2009-05-01;2009-05-31
;;;2009-05-06;2009-05-27;"MSK";"22";"Västernorrland";2009-05-01;2009-05-31
;;;2009-05-20;2009-05-20;"MSK";"24";"Västerbotten";2009-05-01;2009-05-31
;;;2009-05-04;2009-05-27;"MSK";"25";"Norrbotten";2009-05-01;2009-05-31
25;21;0,84;2009-06-01;2009-06-24;;"01";"Stockholms län";2009-06-01;2009-06-30
;;;2009-06-16;2009-06-25;"MSK";"03";"Uppsala län";2009-06-01;2009-06-30
;;;2009-06-12;2009-06-12;"MSK";"04";"Sörmland";2009-06-01;2009-06-30
;;;2009-06-18;2009-06-26;"MSK";"05";"Östergötland";2009-06-01;2009-06-30
;;;2009-06-05;2009-06-11;"MSK";"06";"Jönköpings län";2009-06-01;2009-06-30
;;;2009-06-02;2009-06-16;"MSK";"07";"Kronoberg";2009-06-01;2009-06-30
;;;2009-06-12;2009-06-26;"MSK";"08";"Kalmar län";2009-06-01;2009-06-30
;;;2009-06-01;2009-06-01;"MSK";"09";"Gotland";2009-06-01;2009-06-30
;;;2009-06-01;2009-06-30;"MSK";"10";"Blekinge";2009-06-01;2009-06-30
19;17;0,894736842105263;2009-06-02;2009-06-30;;"12";"Skåne";2009-06-01;2009-06-30
;;;2009-06-15;2009-06-25;"MSK";"13";"Halland";2009-06-01;2009-06-30
;;;2009-06-04;2009-06-25;"MSK";"14";"Västra Götaland";2009-06-01;2009-06-30
;;;2009-06-12;2009-06-26;"MSK";"18";"Örebro län";2009-06-01;2009-06-30
;;;2009-06-02;2009-06-30;"MSK";"19";"Västmanland";2009-06-01;2009-06-30
;;;2009-06-12;2009-06-25;"MSK";"20";"Dalarna";2009-06-01;2009-06-30
;;;2009-06-04;2009-06-25;"MSK";"21";"Gävleborg";2009-06-01;2009-06-30
;;;2009-06-10;2009-06-10;"MSK";"23";"Jämtland";2009-06-01;2009-06-30
;;;2009-06-10;2009-06-10;"MSK";"24";"Västerbotten";2009-06-01;2009-06-30
;;;2009-06-17;2009-06-17;"MSK";"25";"Norrbotten";2009-06-01;2009-06-30
25;21;0,84;2009-07-06;2009-07-29;;"01";"Stockholms län";2009-07-01;2009-07-31
;;;2009-07-17;2009-07-31;"MSK";"04";"Sörmland";2009-07-01;2009-07-31
;;;2009-07-03;2009-07-17;"MSK";"05";"Östergötland";2009-07-01;2009-07-31
;;;2009-07-15;2009-07-17;"MSK";"06";"Jönköpings län";2009-07-01;2009-07-31
;;;2009-07-21;2009-07-28;"MSK";"07";"Kronoberg";2009-07-01;2009-07-31
;;;2009-07-03;2009-07-10;"MSK";"08";"Kalmar län";2009-07-01;2009-07-31
;;;2009-07-02;2009-07-28;"MSK";"10";"Blekinge";2009-07-01;2009-07-31
23;18;0,782608695652174;2009-07-01;2009-07-31;;"12";"Skåne";2009-07-01;2009-07-31
;;;2009-07-21;2009-07-21;"MSK";"13";"Halland";2009-07-01;2009-07-31
20;17;0,85;2009-07-02;2009-07-23;;"14";"Västra Götaland";2009-07-01;2009-07-31
;;;2009-07-10;2009-07-31;"MSK";"17";"Värmland";2009-07-01;2009-07-31
;;;2009-07-03;2009-07-31;"MSK";"18";"Örebro län";2009-07-01;2009-07-31
;;;2009-07-10;2009-07-31;"MSK";"20";"Dalarna";2009-07-01;2009-07-31
10;5;0,5;2009-07-03;2009-07-31;;"21";"Gävleborg";2009-07-01;2009-07-31
;;;2009-07-01;2009-07-29;"MSK";"22";"Västernorrland";2009-07-01;2009-07-31
;;;2009-07-01;2009-07-08;"MSK";"23";"Jämtland";2009-07-01;2009-07-31
;;;2009-07-06;2009-07-22;"MSK";"24";"Västerbotten";2009-07-01;2009-07-31
;;;2009-07-01;2009-07-29;"MSK";"25";"Norrbotten";2009-07-01;2009-07-31
23;22;0,956521739130435;2009-08-03;2009-08-31;;"01";"Stockholms län";2009-08-01;2009-08-31
;;;2009-08-04;2009-08-04;"MSK";"03";"Uppsala län";2009-08-01;2009-08-31
;;;2009-08-21;2009-08-28;"MSK";"04";"Sörmland";2009-08-01;2009-08-31
;;;2009-08-02;2009-08-21;"MSK";"05";"Östergötland";2009-08-01;2009-08-31
;;;2009-08-12;2009-08-14;"MSK";"06";"Jönköpings län";2009-08-01;2009-08-31
;;;2009-08-04;2009-08-11;"MSK";"07";"Kronoberg";2009-08-01;2009-08-31
;;;2009-08-11;2009-08-11;"MSK";"08";"Kalmar län";2009-08-01;2009-08-31
;;;2009-08-18;2009-08-31;"MSK";"09";"Gotland";2009-08-01;2009-08-31
;;;2009-08-06;2009-08-27;"MSK";"10";"Blekinge";2009-08-01;2009-08-31
15;11;0,733333333333333;2009-08-04;2009-08-27;;"12";"Skåne";2009-08-01;2009-08-31
;;;2009-08-11;2009-08-11;"MSK";"13";"Halland";2009-08-01;2009-08-31
14;13;0,928571428571429;2009-08-06;2009-08-27;;"14";"Västra Götaland";2009-08-01;2009-08-31
;;;2009-08-07;2009-08-21;"MSK";"17";"Värmland";2009-08-01;2009-08-31
;;;2009-08-13;2009-08-14;"MSK";"18";"Örebro län";2009-08-01;2009-08-31
;;;2009-08-06;2009-08-18;"MSK";"19";"Västmanland";2009-08-01;2009-08-31
;;;2009-08-14;2009-08-14;"MSK";"20";"Dalarna";2009-08-01;2009-08-31
;;;2009-08-05;2009-08-25;"MSK";"21";"Gävleborg";2009-08-01;2009-08-31
;;;2009-08-05;2009-08-29;"MSK";"22";"Västernorrland";2009-08-01;2009-08-31
;;;2009-08-05;2009-08-26;"MSK";"24";"Västerbotten";2009-08-01;2009-08-31
;;;2009-08-05;2009-08-05;"MSK";"25";"Norrbotten";2009-08-01;2009-08-31
23;22;0,956521739130435;2009-09-01;2009-09-30;;"01";"Stockholms län";2009-09-01;2009-09-30
;;;2009-09-01;2009-09-29;"MSK";"03";"Uppsala län";2009-09-01;2009-09-30
;;;2009-09-18;2009-09-18;"MSK";"04";"Sörmland";2009-09-01;2009-09-30
;;;2009-09-04;2009-09-25;"MSK";"05";"Östergötland";2009-09-01;2009-09-30
;;;2009-09-03;2009-09-18;"MSK";"06";"Jönköpings län";2009-09-01;2009-09-30
;;;2009-09-22;2009-09-29;"MSK";"07";"Kronoberg";2009-09-01;2009-09-30
;;;2009-09-03;2009-09-25;"MSK";"08";"Kalmar län";2009-09-01;2009-09-30
;;;2009-09-08;2009-09-22;"MSK";"10";"Blekinge";2009-09-01;2009-09-30
20;15;0,75;2009-09-01;2009-09-29;;"12";"Skåne";2009-09-01;2009-09-30
;;;2009-09-02;2009-09-09;"MSK";"13";"Halland";2009-09-01;2009-09-30
20;20;1;2009-09-01;2009-09-25;;"14";"Västra Götaland";2009-09-01;2009-09-30
;;;2009-09-10;2009-09-25;"MSK";"17";"Värmland";2009-09-01;2009-09-30
;;;2009-09-11;2009-09-25;"MSK";"18";"Örebro län";2009-09-01;2009-09-30
;;;2009-09-01;2009-09-25;"MSK";"19";"Västmanland";2009-09-01;2009-09-30
;;;2009-09-10;2009-09-25;"MSK";"20";"Dalarna";2009-09-01;2009-09-30
;;;2009-09-11;2009-09-11;"MSK";"21";"Gävleborg";2009-09-01;2009-09-30
;;;2009-09-02;2009-09-30;"MSK";"22";"Västernorrland";2009-09-01;2009-09-30
;;;2009-09-16;2009-09-30;"MSK";"24";"Västerbotten";2009-09-01;2009-09-30
;;;2009-09-03;2009-09-30;"MSK";"25";"Norrbotten";2009-09-01;2009-09-30
16;15;0,9375;2009-10-01;2009-10-28;;"01";"Stockholms län";2009-10-01;2009-10-31
;;;2009-10-06;2009-10-27;"MSK";"03";"Uppsala län";2009-10-01;2009-10-31
;;;2009-10-03;2009-10-30;"MSK";"04";"Sörmland";2009-10-01;2009-10-31
;;;2009-10-23;2009-10-30;"MSK";"05";"Östergötland";2009-10-01;2009-10-31
;;;2009-10-01;2009-10-26;"MSK";"06";"Jönköpings län";2009-10-01;2009-10-31
;;;2009-10-26;2009-10-26;"MSK";"07";"Kronoberg";2009-10-01;2009-10-31
;;;2009-10-16;2009-10-30;"MSK";"08";"Kalmar län";2009-10-01;2009-10-31
;;;2009-10-14;2009-10-26;"MSK";"09";"Gotland";2009-10-01;2009-10-31
;;;2009-10-16;2009-10-27;"MSK";"10";"Blekinge";2009-10-01;2009-10-31
;;;2009-10-02;2009-10-27;"MSK";"12";"Skåne";2009-10-01;2009-10-31
;;;2009-10-08;2009-10-29;"MSK";"13";"Halland";2009-10-01;2009-10-31
22;21;0,954545454545455;2009-10-08;2009-10-29;;"14";"Västra Götaland";2009-10-01;2009-10-31
;;;2009-10-17;2009-10-30;"MSK";"17";"Värmland";2009-10-01;2009-10-31
;;;2009-10-02;2009-10-27;"MSK";"18";"Örebro län";2009-10-01;2009-10-31
;;;2009-10-06;2009-10-27;"MSK";"19";"Västmanland";2009-10-01;2009-10-31
;;;2009-10-02;2009-10-02;"MSK";"20";"Dalarna";2009-10-01;2009-10-31
;;;2009-10-06;2009-10-30;"MSK";"21";"Gävleborg";2009-10-01;2009-10-31
;;;2009-10-21;2009-10-21;"MSK";"22";"Västernorrland";2009-10-01;2009-10-31
;;;2009-10-14;2009-10-21;"MSK";"23";"Jämtland";2009-10-01;2009-10-31
;;;2009-10-02;2009-10-02;"MSK";"24";"Västerbotten";2009-10-01;2009-10-31
;;;2009-10-07;2009-10-07;"MSK";"25";"Norrbotten";2009-10-01;2009-10-31
25;24;0,96;2009-11-02;2009-11-30;;"01";"Stockholms län";2009-11-01;
;;;2009-11-03;2009-11-24;"MSK";"03";"Uppsala län";2009-11-01;
;;;2009-11-06;2009-11-27;"MSK";"04";"Sörmland";2009-11-01;
;;;2009-11-05;2009-11-20;"MSK";"05";"Östergötland";2009-11-01;
;;;2009-11-05;2009-11-30;"MSK";"06";"Jönköpings län";2009-11-01;
;;;2009-11-23;2009-11-23;"MSK";"07";"Kronoberg";2009-11-01;
;;;2009-11-06;2009-11-20;"MSK";"08";"Kalmar län";2009-11-01;
;;;2009-11-03;2009-11-05;"MSK";"10";"Blekinge";2009-11-01;
14;12;0,857142857142857;2009-11-03;2009-11-24;;"12";"Skåne";2009-11-01;
;;;2009-11-05;2009-11-27;"MSK";"13";"Halland";2009-11-01;
13;13;1;2009-11-05;2009-11-26;;"14";"Västra Götaland";2009-11-01;
;;;2009-11-13;2009-11-26;"MSK";"17";"Värmland";2009-11-01;
;;;2009-11-06;2009-11-27;"MSK";"18";"Örebro län";2009-11-01;
;;;2009-11-06;2009-11-24;"MSK";"19";"Västmanland";2009-11-01;
;;;2009-11-10;2009-11-27;"MSK";"20";"Dalarna";2009-11-01;
;;;2009-11-10;2009-11-17;"MSK";"21";"Gävleborg";2009-11-01;
;;;2009-11-02;2009-11-25;"MSK";"22";"Västernorrland";2009-11-01;
;;;2009-11-11;2009-11-18;"MSK";"23";"Jämtland";2009-11-01;
;;;2009-11-05;2009-11-25;"MSK";"24";"Västerbotten";2009-11-01;
;;;2009-11-04;2009-11-18;"MSK";"25";"Norrbotten";2009-11-01;
31;29;0,935483870967742;2009-12-02;2009-12-30;;"01";"Stockholms län";2009-12-01;2009-12-31
;;;2009-12-08;2009-12-29;"MSK";"03";"Uppsala län";2009-12-01;2009-12-31
;;;2009-12-04;2009-12-18;"MSK";"04";"Sörmland";2009-12-01;2009-12-31
;;;2009-12-03;2009-12-18;"MSK";"05";"Östergötland";2009-12-01;2009-12-31
;;;2009-12-03;2009-12-23;"MSK";"06";"Jönköpings län";2009-12-01;2009-12-31
;;;2009-12-01;2009-12-22;"MSK";"07";"Kronoberg";2009-12-01;2009-12-31
;;;2009-12-18;2009-12-18;"MSK";"08";"Kalmar län";2009-12-01;2009-12-31
;;;2009-12-14;2009-12-28;"MSK";"09";"Gotland";2009-12-01;2009-12-31
;;;2009-12-01;2009-12-22;"MSK";"10";"Blekinge";2009-12-01;2009-12-31
20;15;0,75;2009-12-01;2009-12-30;;"12";"Skåne";2009-12-01;2009-12-31
;;;2009-12-09;2009-12-23;"MSK";"13";"Halland";2009-12-01;2009-12-31
22;17;0,772727272727273;2009-12-03;2009-12-30;;"14";"Västra Götaland";2009-12-01;2009-12-31
;;;2009-12-04;2009-12-30;"MSK";"17";"Värmland";2009-12-01;2009-12-31
;;;2009-12-04;2009-12-30;"MSK";"18";"Örebro län";2009-12-01;2009-12-31
;;;2009-12-01;2009-12-22;"MSK";"19";"Västmanland";2009-12-01;2009-12-31
;;;2009-12-04;2009-12-30;"MSK";"20";"Dalarna";2009-12-01;2009-12-31
;;;2009-12-01;2009-12-22;"MSK";"21";"Gävleborg";2009-12-01;2009-12-31
;;;2009-12-08;2009-12-28;"MSK";"22";"Västernorrland";2009-12-01;2009-12-31
;;;2009-12-16;2009-12-23;"MSK";"24";"Västerbotten";2009-12-01;2009-12-31
;;;2009-12-09;2009-12-16;"MSK";"25";"Norrbotten";2009-12-01;2009-12-31
14;14;1;2010-01-11;2010-01-27;;"01";"Stockholms län";2010-01-01;2010-01-31
;;;2010-01-12;2010-01-12;"MSK";"03";"Uppsala län";2010-01-01;2010-01-31
;;;2010-01-08;2010-01-08;"MSK";"04";"Sörmland";2010-01-01;2010-01-31
;;;2010-01-08;2010-01-22;"MSK";"05";"Östergötland";2010-01-01;2010-01-31
;;;2010-01-08;2010-01-08;"MSK";"06";"Jönköpings län";2010-01-01;2010-01-31
;;;2010-01-05;2010-01-12;"MSK";"07";"Kronoberg";2010-01-01;2010-01-31
